PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Redirect URL,Redirect URL code,Redirect URL patch,Redirect URL patch status,Redirect chain URLs,Redirect chain URLs codes,Is redirect loop,No. of all inlinks,No. of redirect inlinks,First found at
0,https://visitbanjarmasin.id/ms/explore/tempat-wisata-di-lok-baintan,,text/plain,false,308,0,https://www.visitbanjarmasin.id/ms/explore/tempat-wisata-di-lok-baintan,200,,,https://www.visitbanjarmasin.id/ms/explore/tempat-wisata-di-lok-baintan,200,false,2,0,https://visitbanjarmasin.id/id/explore/tempat-wisata-di-lok-baintan
0,https://visitbanjarmasin.id/zh/profil,,text/plain,false,308,0,https://www.visitbanjarmasin.id/zh/profil,200,,,https://www.visitbanjarmasin.id/zh/profil,200,false,6,0,https://visitbanjarmasin.id/id/profil
0,https://visitbanjarmasin.id/en/explore/wisata-kuliner-di-banjarmasin-selatan,,text/plain,false,308,0,https://www.visitbanjarmasin.id/en/explore/wisata-kuliner-di-banjarmasin-selatan,200,,,https://www.visitbanjarmasin.id/en/explore/wisata-kuliner-di-banjarmasin-selatan,200,false,2,0,https://visitbanjarmasin.id/id/explore/wisata-kuliner-di-banjarmasin-selatan
0,https://visitbanjarmasin.id/zh/explore/tempat-nongkrong-di-banjarmasin-selatan,,text/plain,false,308,0,https://www.visitbanjarmasin.id/zh/explore/tempat-nongkrong-di-banjarmasin-selatan,200,,,https://www.visitbanjarmasin.id/zh/explore/tempat-nongkrong-di-banjarmasin-selatan,200,false,2,0,https://visitbanjarmasin.id/id/explore/tempat-nongkrong-di-banjarmasin-selatan
0,https://visitbanjarmasin.id/ms/explore/tempat-wisata-di-sultan-adam,,text/plain,false,308,0,https://www.visitbanjarmasin.id/ms/explore/tempat-wisata-di-sultan-adam,200,,,https://www.visitbanjarmasin.id/ms/explore/tempat-wisata-di-sultan-adam,200,false,2,0,https://visitbanjarmasin.id/id/explore/tempat-wisata-di-sultan-adam
0,https://visitbanjarmasin.id/en/explore/hotel-murah-di-gatot-subroto,,text/plain,false,308,0,https://www.visitbanjarmasin.id/en/explore/hotel-murah-di-gatot-subroto,200,,,https://www.visitbanjarmasin.id/en/explore/hotel-murah-di-gatot-subroto,200,false,2,0,https://visitbanjarmasin.id/id/explore/hotel-murah-di-gatot-subroto
0,https://visitbanjarmasin.id/en/explore/sewa-mobil-di-kayutangi,,text/plain,false,308,0,https://www.visitbanjarmasin.id/en/explore/sewa-mobil-di-kayutangi,200,,,https://www.visitbanjarmasin.id/en/explore/sewa-mobil-di-kayutangi,200,false,2,0,https://visitbanjarmasin.id/id/explore/sewa-mobil-di-kayutangi
0,https://visitbanjarmasin.id/zh/explore/tempat-nongkrong-di-banjarmasin-utara,,text/plain,false,308,0,https://www.visitbanjarmasin.id/zh/explore/tempat-nongkrong-di-banjarmasin-utara,200,,,https://www.visitbanjarmasin.id/zh/explore/tempat-nongkrong-di-banjarmasin-utara,200,false,2,0,https://visitbanjarmasin.id/id/explore/tempat-nongkrong-di-banjarmasin-utara
0,https://visitbanjarmasin.id/id/explore/sewa-mobil-di-lok-baintan,,text/plain,false,308,0,https://www.visitbanjarmasin.id/id/explore/sewa-mobil-di-lok-baintan,200,,,https://www.visitbanjarmasin.id/id/explore/sewa-mobil-di-lok-baintan,200,false,1,0,
0,https://visitbanjarmasin.id/en/explore/wisata-malam-di-lok-baintan,,text/plain,false,308,0,https://www.visitbanjarmasin.id/en/explore/wisata-malam-di-lok-baintan,200,,,https://www.visitbanjarmasin.id/en/explore/wisata-malam-di-lok-baintan,200,false,2,0,https://visitbanjarmasin.id/id/explore/wisata-malam-di-lok-baintan
