PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is in sitemap,Redirect URL,Redirect URL code,Redirect URL patch,Redirect URL patch status,Referenced in sitemaps,No. of all inlinks
0,https://visitbanjarmasin.id/id/explore/tempat-nongkrong-di-banjarmasin-utara,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/tempat-nongkrong-di-banjarmasin-utara,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-sultan-adam,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-sultan-adam,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/hotel-murah-di-sungai-andai,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/hotel-murah-di-sungai-andai,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/tempat-wisata-di-sungai-andai,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/tempat-wisata-di-sungai-andai,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-banjarmasin-utara,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-banjarmasin-utara,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-kayutangi,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-kayutangi,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/hotel-murah-di-sultan-adam,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/hotel-murah-di-sultan-adam,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/tempat-nongkrong-di-banjarmasin-timur,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/tempat-nongkrong-di-banjarmasin-timur,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/tempat-wisata-di-banjarmasin-tengah,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/tempat-wisata-di-banjarmasin-tengah,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/sewa-mobil-di-banjarmasin-selatan,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/sewa-mobil-di-banjarmasin-selatan,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/hotel-murah-di-banjarmasin-timur,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/hotel-murah-di-banjarmasin-timur,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/wisata-kuliner-di-kuin,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/wisata-kuliner-di-kuin,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/tempat-nongkrong-di-sultan-adam,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/tempat-nongkrong-di-sultan-adam,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/hotel-murah-di-lok-baintan,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/hotel-murah-di-lok-baintan,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/tempat-nongkrong-di-banjarmasin-barat,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/tempat-nongkrong-di-banjarmasin-barat,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/wisata-kuliner-di-banjarmasin-barat,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/wisata-kuliner-di-banjarmasin-barat,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/wisata-kuliner-di-sungai-andai,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/wisata-kuliner-di-sungai-andai,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/sewa-mobil-di-banjarmasin-tengah,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/sewa-mobil-di-banjarmasin-tengah,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-lok-baintan,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-lok-baintan,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/tempat-wisata-di-banjarmasin-barat,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/tempat-wisata-di-banjarmasin-barat,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/tempat-wisata-di-kayutangi,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/tempat-wisata-di-kayutangi,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/sewa-mobil-di-gatot-subroto,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/sewa-mobil-di-gatot-subroto,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/hotel-murah-di-kayutangi,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/hotel-murah-di-kayutangi,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-banjarmasin-tengah,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-banjarmasin-tengah,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/hotel-murah-di-kuin,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/hotel-murah-di-kuin,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/tempat-wisata-di-sultan-adam,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/tempat-wisata-di-sultan-adam,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/hotel-murah-di-banjarmasin-barat,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/hotel-murah-di-banjarmasin-barat,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-banjarmasin-timur,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/oleh-oleh-khas-di-banjarmasin-timur,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
0,https://visitbanjarmasin.id/id/explore/wisata-kuliner-di-lok-baintan,,text/plain,false,308,0,true,https://www.visitbanjarmasin.id/id/explore/wisata-kuliner-di-lok-baintan,200,,,https://www.visitbanjarmasin.id/sitemap.xml,1
