PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Redirect URL,Redirect URL code,Redirect URL patch,Redirect URL patch status,Redirect chain URLs,Redirect chain URLs codes,Is redirect loop,No. of all inlinks,No. of redirect inlinks,First found at
0,https://visitbanjarmasin.id/ms/blog/panduan-naik-brt-banjarbakula,,text/plain,false,308,0,https://www.visitbanjarmasin.id/ms/blog/panduan-naik-brt-banjarbakula,200,,,https://www.visitbanjarmasin.id/ms/blog/panduan-naik-brt-banjarbakula,200,false,6,0,https://visitbanjarmasin.id/blog/panduan-naik-brt-banjarbakula
0,https://visitbanjarmasin.id/budaya,,text/plain,false,308,0,https://www.visitbanjarmasin.id/budaya,200,,,https://www.visitbanjarmasin.id/budaya,200,false,9,0,
0,https://visitbanjarmasin.id/zh/explore/sewa-mobil-di-banjarmasin-timur,,text/plain,false,308,0,https://www.visitbanjarmasin.id/zh/explore/sewa-mobil-di-banjarmasin-timur,200,,,https://www.visitbanjarmasin.id/zh/explore/sewa-mobil-di-banjarmasin-timur,200,false,6,0,https://visitbanjarmasin.id/explore/sewa-mobil-di-banjarmasin-timur
0,https://visitbanjarmasin.id/explore/tempat-wisata-di-kayutangi,,text/plain,false,308,0,https://www.visitbanjarmasin.id/explore/tempat-wisata-di-kayutangi,200,,,https://www.visitbanjarmasin.id/explore/tempat-wisata-di-kayutangi,200,false,9,0,
0,https://visitbanjarmasin.id/en/explore/wisata-malam-di-sungai-andai,,text/plain,false,308,0,https://www.visitbanjarmasin.id/en/explore/wisata-malam-di-sungai-andai,200,,,https://www.visitbanjarmasin.id/en/explore/wisata-malam-di-sungai-andai,200,false,6,0,https://visitbanjarmasin.id/explore/wisata-malam-di-sungai-andai
0,https://visitbanjarmasin.id/zh/blog/5-tempat-nongkrong-di-banjarmasin,,text/plain,false,308,0,https://www.visitbanjarmasin.id/zh/blog/5-tempat-nongkrong-di-banjarmasin,200,,,https://www.visitbanjarmasin.id/zh/blog/5-tempat-nongkrong-di-banjarmasin,200,false,6,0,https://visitbanjarmasin.id/blog/5-tempat-nongkrong-di-banjarmasin
0,https://visitbanjarmasin.id/ms/blog/sejarah-pasar-terapung-lok-baintan,,text/plain,false,308,0,https://www.visitbanjarmasin.id/ms/blog/sejarah-pasar-terapung-lok-baintan,200,,,https://www.visitbanjarmasin.id/ms/blog/sejarah-pasar-terapung-lok-baintan,200,false,6,0,https://visitbanjarmasin.id/blog/sejarah-pasar-terapung-lok-baintan
0,https://visitbanjarmasin.id/ms/explore/oleh-oleh-khas-di-banjarmasin-selatan,,text/plain,false,308,0,https://www.visitbanjarmasin.id/ms/explore/oleh-oleh-khas-di-banjarmasin-selatan,200,,,https://www.visitbanjarmasin.id/ms/explore/oleh-oleh-khas-di-banjarmasin-selatan,200,false,6,0,https://visitbanjarmasin.id/explore/oleh-oleh-khas-di-banjarmasin-selatan
0,https://visitbanjarmasin.id/zh/panduan,,text/plain,false,308,0,https://www.visitbanjarmasin.id/zh/panduan,200,,,https://www.visitbanjarmasin.id/zh/panduan,200,false,6,0,https://visitbanjarmasin.id/panduan
0,https://visitbanjarmasin.id/ms/explore/tempat-wisata-di-banjarmasin-timur,,text/plain,false,308,0,https://www.visitbanjarmasin.id/ms/explore/tempat-wisata-di-banjarmasin-timur,200,,,https://www.visitbanjarmasin.id/ms/explore/tempat-wisata-di-banjarmasin-timur,200,false,6,0,https://visitbanjarmasin.id/explore/tempat-wisata-di-banjarmasin-timur
0,https://visitbanjarmasin.id/ms/explore/wisata-malam-di-kayutangi,,text/plain,false,308,0,https://www.visitbanjarmasin.id/ms/explore/wisata-malam-di-kayutangi,200,,,https://www.visitbanjarmasin.id/ms/explore/wisata-malam-di-kayutangi,200,false,6,0,https://visitbanjarmasin.id/explore/wisata-malam-di-kayutangi
0,https://visitbanjarmasin.id/ms/explore/oleh-oleh-khas-di-gatot-subroto,,text/plain,false,308,0,https://www.visitbanjarmasin.id/ms/explore/oleh-oleh-khas-di-gatot-subroto,200,,,https://www.visitbanjarmasin.id/ms/explore/oleh-oleh-khas-di-gatot-subroto,200,false,6,0,https://visitbanjarmasin.id/explore/oleh-oleh-khas-di-gatot-subroto
0,https://visitbanjarmasin.id/zh/blog,,text/plain,false,308,0,https://www.visitbanjarmasin.id/zh/blog,200,,,https://www.visitbanjarmasin.id/zh/blog,200,false,6,0,https://visitbanjarmasin.id/blog
0,https://visitbanjarmasin.id/ms/explore/sewa-mobil-di-kuin,,text/plain,false,308,0,https://www.visitbanjarmasin.id/ms/explore/sewa-mobil-di-kuin,200,,,https://www.visitbanjarmasin.id/ms/explore/sewa-mobil-di-kuin,200,false,6,0,https://visitbanjarmasin.id/explore/sewa-mobil-di-kuin
0,https://visitbanjarmasin.id/ms/explore/wisata-malam-di-banjarmasin-utara,,text/plain,false,308,0,https://www.visitbanjarmasin.id/ms/explore/wisata-malam-di-banjarmasin-utara,200,,,https://www.visitbanjarmasin.id/ms/explore/wisata-malam-di-banjarmasin-utara,200,false,6,0,https://visitbanjarmasin.id/explore/wisata-malam-di-banjarmasin-utara
0,https://visitbanjarmasin.id/en/profil-kota,,text/plain,false,308,0,https://www.visitbanjarmasin.id/en/profil-kota,200,,,https://www.visitbanjarmasin.id/en/profil-kota,200,false,6,0,https://visitbanjarmasin.id/profil-kota
